0.56 0.54 0.48 0.50 0.43 0.37 0.30
0.47 0.59 0.48 0.50 0.52 0.76 0.79
0.63 0.49 0.48 0.50 0.54 0.76 0.79
0.38 0.40 0.48 0.50 0.63 0.25 0.35
0.26 0.50 0.48 0.50 0.44 0.32 0.41
0.63 0.83 0.48 0.50 0.40 0.39 0.19
0.44 0.35 0.48 0.50 0.55 0.55 0.61
0.67 0.70 0.48 0.50 0.46 0.45 0.33
0.48 0.49 0.48 0.50 0.52 0.77 0.71
0.18 0.30 0.48 0.50 0.46 0.24 0.35
0.78 0.33 0.48 0.50 0.57 0.77 0.79
0.35 0.51 0.48 0.50 0.61 0.71 0.74
0.34 0.42 0.48 0.50 0.41 0.34 0.43
0.30 0.45 0.48 0.50 0.36 0.21 0.32
0.65 0.55 0.48 0.50 0.34 0.37 0.28
0.81 0.44 0.48 0.50 0.42 0.67 0.68
0.40 0.45 0.48 0.50 0.38 0.22 0.00
0.23 0.33 0.48 0.50 0.43 0.33 0.43
0.66 0.74 0.48 0.50 0.31 0.38 0.43
0.40 0.42 0.48 0.50 0.37 0.27 0.27
0.16 0.51 0.48 0.50 0.33 0.39 0.48
0.23 0.58 0.48 0.50 0.37 0.53 0.59
0.64 0.57 0.48 0.50 0.70 0.33 0.26
0.25 0.26 0.48 0.50 0.39 0.32 0.42
0.79 0.36 0.48 0.50 0.46 0.82 0.70
0.74 0.74 0.48 0.50 0.31 0.53 0.52
0.29 0.30 0.48 0.50 0.45 0.03 0.17
0.67 0.88 0.48 0.50 0.73 0.50 0.25
0.16 0.43 0.48 0.50 0.54 0.27 0.37
0.64 0.81 0.48 0.50 0.37 0.39 0.44
0.84 0.49 0.48 0.50 0.55 0.78 0.74
0.62 0.83 0.48 0.50 0.46 0.36 0.40
0.58 0.55 0.48 0.50 0.57 0.70 0.74
0.29 0.47 0.48 0.50 0.41 0.23 0.34
0.38 0.46 0.48 0.50 0.48 0.22 0.29
0.44 0.51 0.48 0.50 0.47 0.26 0.36
0.39 0.32 0.48 0.50 0.46 0.24 0.35
0.38 0.26 0.48 0.50 0.54 0.16 0.28
0.42 0.38 0.48 0.50 0.54 0.34 0.43
0.67 0.81 0.48 0.50 0.54 0.49 0.23
0.57 0.59 0.48 0.50 0.39 0.47 0.33
0.51 0.46 0.48 0.50 0.58 0.31 0.41
0.85 0.53 0.48 0.50 0.53 0.52 0.35
0.71 0.46 1.00 0.50 0.52 0.59 0.30
0.40 0.50 0.48 0.50 0.45 0.39 0.47
0.53 0.38 0.48 0.50 0.44 0.26 0.36
0.43 0.59 0.48 0.50 0.52 0.49 0.56
0.61 0.66 0.48 0.50 0.46 0.87 0.88
0.58 0.34 0.48 0.50 0.56 0.87 0.81
0.63 0.71 0.48 0.50 0.60 0.40 0.39
0.70 0.39 1.00 0.50 0.51 0.82 0.84
0.37 0.52 0.48 0.50 0.42 0.42 0.36
0.44 0.56 0.48 0.50 0.50 0.46 0.54
0.52 0.54 0.48 0.50 0.62 0.76 0.79
0.74 0.78 0.48 0.50 0.75 0.54 0.15
0.23 0.48 0.48 0.50 0.59 0.88 0.89
0.63 0.69 0.48 0.50 0.65 0.41 0.28
0.31 0.47 0.48 0.50 0.29 0.28 0.39
0.63 0.54 0.48 0.50 0.65 0.79 0.81
0.71 0.71 0.48 0.50 0.68 0.43 0.36
0.30 0.51 0.48 0.50 0.42 0.61 0.34
0.71 0.40 0.48 0.50 0.71 0.70 0.74
0.56 0.68 0.48 0.50 0.77 0.36 0.45
0.86 0.55 0.48 0.50 0.63 0.81 0.83
0.68 0.63 0.48 0.50 0.73 0.40 0.30
0.60 0.61 0.48 0.50 0.54 0.67 0.71
0.88 0.42 0.48 0.50 0.52 0.73 0.75
0.51 0.54 0.48 0.50 0.41 0.34 0.43
0.59 0.49 0.48 0.50 0.52 0.45 0.36
0.75 0.84 0.48 0.50 0.35 0.52 0.33
0.67 0.55 1.00 0.50 0.66 0.58 0.16
0.29 0.52 0.48 0.50 0.42 0.29 0.39
0.79 0.54 0.48 0.50 0.50 0.66 0.68
0.66 0.86 0.48 0.50 0.34 0.41 0.36
0.63 0.42 0.48 0.50 0.48 0.77 0.80
0.40 0.50 0.48 0.50 0.65 0.82 0.84
0.64 0.46 0.48 0.50 0.48 0.73 0.76
0.57 0.54 0.48 0.50 0.37 0.28 0.33
0.48 0.41 0.48 0.50 0.51 0.90 0.88
0.00 0.38 0.48 0.50 0.42 0.48 0.55
0.77 0.57 1.00 0.50 0.37 0.54 0.01
0.51 0.37 0.48 0.50 0.35 0.36 0.45
0.20 0.46 0.48 0.50 0.57 0.78 0.81
0.42 0.40 0.48 0.50 0.56 0.18 0.30
0.29 0.39 0.48 0.50 0.52 0.40 0.48
0.70 0.53 0.48 0.50 0.70 0.86 0.87
0.00 0.51 0.48 0.50 0.35 0.67 0.44
0.64 0.45 0.48 0.50 0.67 0.61 0.66
0.31 0.23 0.48 0.50 0.73 0.05 0.14
0.77 0.57 0.48 0.50 0.88 0.53 0.20
0.25 0.37 0.48 0.50 0.43 0.26 0.36
0.73 0.84 0.48 0.50 0.86 0.58 0.29
0.75 0.55 1.00 1.00 0.40 0.47 0.30
0.63 0.75 0.48 0.50 0.64 0.73 0.66
0.41 0.57 0.48 0.50 0.39 0.21 0.32
0.69 0.59 0.48 0.50 0.77 0.39 0.21
0.51 0.49 0.48 0.50 0.53 0.14 0.26
0.51 0.50 0.48 0.50 0.46 0.32 0.35
0.32 0.39 0.48 0.50 0.53 0.28 0.38
0.63 0.80 0.48 0.50 0.46 0.31 0.29
0.60 0.50 1.00 0.50 0.54 0.77 0.80
0.07 0.40 0.48 0.50 0.54 0.35 0.44
0.65 0.51 0.48 0.50 0.66 0.54 0.33
0.36 0.42 0.48 0.50 0.53 0.32 0.41
0.17 0.39 0.48 0.50 0.53 0.30 0.39
0.71 0.71 0.48 0.50 0.40 0.54 0.39
0.71 0.57 0.48 0.50 0.48 0.35 0.32
0.89 0.55 0.48 0.50 0.51 0.72 0.76
0.61 0.60 0.48 0.50 0.44 0.39 0.38
0.60 0.46 0.48 0.50 0.45 0.81 0.83
0.24 0.41 0.48 0.50 0.49 0.23 0.34
0.70 0.71 0.48 0.50 0.42 0.84 0.85
0.44 0.52 0.48 0.50 0.43 0.47 0.54
0.34 0.49 0.48 0.50 0.58 0.85 0.80
0.72 0.46 0.48 0.50 0.51 0.66 0.70
0.68 0.78 0.48 0.50 0.43 0.44 0.42
0.39 0.41 0.48 0.50 0.52 0.72 0.75
0.73 0.26 0.48 0.50 0.57 0.75 0.78
0.42 0.24 0.48 0.50 0.57 0.27 0.37
0.74 0.47 0.48 0.50 0.50 0.57 0.42
0.44 0.28 0.48 0.50 0.43 0.27 0.37
0.63 0.65 0.48 0.50 0.66 0.67 0.71
0.24 0.43 0.48 0.50 0.54 0.52 0.59
0.52 0.57 0.48 0.50 0.42 0.47 0.54
0.25 0.40 0.48 0.50 0.46 0.44 0.52
0.50 0.49 0.48 0.50 0.49 0.46 0.53
0.27 0.30 0.48 0.50 0.71 0.28 0.39
0.40 0.35 0.48 0.50 0.45 0.33 0.42
0.69 0.80 0.48 0.50 0.46 0.57 0.26
0.21 0.34 0.48 0.50 0.51 0.28 0.39
0.84 0.54 0.48 0.50 0.75 0.92 0.70
0.51 0.40 0.48 0.50 0.57 0.62 0.67
0.43 0.40 0.48 0.50 0.58 0.75 0.78
0.10 0.49 0.48 0.50 0.41 0.67 0.21
0.37 0.47 0.48 0.50 0.39 0.76 0.79
0.63 0.65 0.48 0.50 0.39 0.44 0.35
0.29 0.37 0.48 0.50 0.48 0.44 0.52
0.25 0.48 0.48 0.50 0.44 0.17 0.29
0.36 0.47 0.48 0.50 0.51 0.69 0.72
0.33 0.56 0.48 0.50 0.33 0.78 0.80
0.29 0.41 0.48 0.50 0.48 0.38 0.46
0.33 0.45 0.48 0.50 0.52 0.32 0.41
0.63 0.86 0.48 0.50 0.39 0.47 0.34
0.30 0.44 0.48 0.50 0.49 0.22 0.33
0.29 0.28 0.48 0.50 0.50 0.42 0.50
0.46 0.59 0.48 0.50 0.36 0.76 0.23
0.68 0.67 0.48 0.50 0.49 0.40 0.34
0.76 0.41 0.48 0.50 0.50 0.59 0.62
0.06 0.61 0.48 0.50 0.49 0.92 0.37
0.52 0.36 0.48 0.50 0.41 0.28 0.38
0.70 0.40 0.48 0.50 0.56 0.86 0.83
0.25 0.37 0.48 0.50 0.41 0.33 0.42
0.83 0.48 0.48 0.50 0.65 0.76 0.79
0.23 0.32 0.48 0.50 0.55 0.25 0.35
0.69 0.43 0.48 0.50 0.59 0.74 0.77
0.50 0.37 0.48 0.50 0.66 0.64 0.69
0.66 0.53 0.48 0.50 0.59 0.66 0.66
0.68 0.76 0.48 0.50 0.84 0.45 0.27
0.63 0.47 0.48 0.50 0.51 0.82 0.84
0.25 0.51 0.48 0.50 0.37 0.42 0.50
0.28 0.38 0.48 0.50 0.50 0.33 0.42
0.54 0.47 0.48 0.50 0.28 0.33 0.42
0.56 0.40 0.48 0.50 0.49 0.37 0.46
0.68 0.49 1.00 0.50 0.62 0.55 0.28
0.04 0.31 0.48 0.50 0.41 0.29 0.39
0.67 0.84 0.48 0.50 0.74 0.54 0.37
0.74 0.82 0.48 0.50 0.49 0.49 0.41
0.59 0.61 0.48 0.50 0.42 0.42 0.37
0.34 0.46 0.48 0.50 0.52 0.35 0.44
0.42 0.30 0.48 0.50 0.48 0.26 0.36
0.65 0.57 0.48 0.50 0.47 0.47 0.51
0.75 0.76 0.48 0.50 0.83 0.57 0.30
0.40 0.46 0.48 0.50 0.52 0.49 0.56
0.34 0.33 0.48 0.50 0.38 0.35 0.44
0.33 0.45 0.48 0.50 0.45 0.88 0.89
0.12 0.43 0.48 0.50 0.63 0.70 0.74
0.64 0.58 0.48 0.50 0.48 0.78 0.73
0.12 0.67 0.48 0.50 0.74 0.58 0.63
0.79 0.41 0.48 0.50 0.66 0.81 0.83
0.41 0.48 0.48 0.50 0.51 0.44 0.51
0.47 0.55 0.48 0.50 0.58 0.71 0.75
0.71 0.52 0.48 0.50 0.64 1.00 0.99
0.52 0.39 0.48 0.50 0.65 0.71 0.73
0.57 0.38 0.48 0.50 0.06 0.49 0.33
0.81 0.53 0.48 0.50 0.57 0.87 0.88
0.52 0.44 0.48 0.50 0.37 0.36 0.42
0.62 0.42 0.48 0.50 0.58 0.79 0.81
0.62 0.78 0.48 0.50 0.47 0.49 0.54
0.32 0.33 0.48 0.50 0.60 0.06 0.20
0.78 0.44 0.48 0.50 0.45 0.73 0.68
0.59 0.29 0.48 0.50 0.64 0.75 0.77
0.64 0.76 0.48 0.50 0.45 0.35 0.38
0.46 0.61 0.48 0.50 0.48 0.86 0.87
0.21 0.51 0.48 0.50 0.50 0.32 0.41
0.39 0.31 0.48 0.50 0.38 0.34 0.43
0.63 0.50 0.48 0.50 0.59 0.85 0.86
0.68 0.51 0.48 0.50 0.71 0.75 0.78
0.61 0.47 0.48 0.50 0.00 0.80 0.32
0.53 0.42 0.48 0.50 0.16 0.29 0.39
0.78 0.68 0.48 0.50 0.83 0.40 0.29
0.55 0.47 0.48 0.50 0.57 0.78 0.80
